cgpa,math_score,programming_score,communication_score,ml_skill,web_skill,security_skill,cloud_skill,stats_skill,internship_count,project_count,interest_area,career_path
3.31,57,48,72,5,0,2,5,2,3,4,web,AI / Machine Learning Engineering
2.97,69,88,55,6,2,9,7,2,0,4,cloud,Cyber Security
2.9,67,92,77,2,3,5,6,0,2,0,cloud,Cloud / DevOps Engineering
2.81,97,70,63,9,0,7,3,9,3,4,web,Data Science
2.98,93,81,61,2,4,2,0,6,3,5,ai,Data Science
2.88,41,59,54,3,3,5,1,5,2,2,cloud,Data Science
2.15,74,48,74,2,4,6,7,6,0,4,security,Data Science
3.97,57,72,47,2,0,0,1,5,1,5,web,Data Science
3.07,67,53,83,0,5,2,7,5,2,1,data,Data Science
3.25,46,62,60,1,5,9,2,3,0,1,ai,Cyber Security
3.1,66,75,44,0,0,1,7,6,2,1,data,Data Science
3.31,89,77,43,9,1,8,6,5,3,4,web,AI / Machine Learning Engineering
3.56,46,62,46,1,9,2,9,8,3,2,web,Web Development
2.68,55,66,79,9,3,2,2,4,2,5,ai,AI / Machine Learning Engineering
3.43,41,68,72,9,1,6,7,4,1,3,web,AI / Machine Learning Engineering
3.14,79,71,44,0,7,8,9,1,0,2,cloud,Cloud / DevOps Engineering
3.17,87,47,78,2,0,5,7,5,0,2,data,Data Science
2.76,88,68,52,4,9,4,4,9,1,2,web,Web Development
2.94,88,64,50,5,3,6,4,9,1,0,data,Data Science
3.62,43,91,55,6,5,7,0,9,0,2,data,Data Science
3.11,94,75,64,7,0,1,1,7,2,0,cloud,Data Science
3.49,64,90,74,6,6,5,2,6,0,1,web,Web Development
3.98,66,87,47,6,9,0,1,3,3,0,security,Web Development
2.89,99,51,94,0,8,6,9,8,2,1,security,Data Science
2.84,44,57,55,7,8,9,3,5,2,2,ai,Cyber Security
3.39,68,55,93,5,7,3,2,6,0,1,cloud,Web Development
3.2,95,46,93,8,2,5,3,1,0,3,security,AI / Machine Learning Engineering
2.84,50,77,45,8,1,3,4,0,3,5,security,AI / Machine Learning Engineering
3.18,82,78,88,0,9,6,6,0,0,3,web,Web Development
3.24,46,97,63,8,2,3,3,8,0,2,security,AI / Machine Learning Engineering
3.39,54,96,50,1,6,3,1,6,0,4,cloud,Data Science
3.15,45,82,68,6,1,2,3,9,1,0,web,Data Science
3.54,40,52,76,3,0,3,2,1,0,5,ai,AI / Machine Learning Engineering
3.87,43,75,45,3,4,5,4,6,0,1,web,Web Development
3.6,72,41,54,5,9,1,5,0,2,4,data,Web Development
3.61,69,74,87,0,7,0,4,8,2,3,ai,Web Development
3.27,94,62,66,9,8,4,5,0,1,1,security,AI / Machine Learning Engineering
3.11,93,74,81,0,3,9,5,9,1,2,cloud,Cyber Security
2.97,41,77,54,2,5,2,7,3,3,1,data,Web Development
2.61,59,73,82,9,6,5,9,4,2,0,web,Web Development
2.89,61,59,57,0,0,7,3,4,2,3,data,Data Science
4.0,88,50,90,2,4,0,9,5,2,1,ai,Cloud / DevOps Engineering
3.61,71,81,71,9,2,0,7,9,1,1,ai,AI / Machine Learning Engineering
2.84,99,79,84,3,8,8,5,1,3,1,cloud,Web Development
3.59,76,78,58,5,4,0,9,5,1,4,web,Web Development
3.7,52,57,98,7,1,0,9,2,0,3,web,Cloud / DevOps Engineering
2.97,80,62,46,7,6,8,8,5,2,1,cloud,Cloud / DevOps Engineering
3.56,68,97,53,3,3,4,7,9,3,4,cloud,Data Science
3.07,57,49,81,6,1,0,6,4,0,3,ai,AI / Machine Learning Engineering
2.88,52,40,44,0,6,0,0,1,0,5,data,Data Science
3.0,60,52,98,1,4,5,0,3,3,0,web,Web Development
3.41,73,82,49,5,5,1,1,1,3,1,data,Web Development
2.69,77,98,50,4,3,3,4,1,0,1,data,AI / Machine Learning Engineering
3.64,69,64,79,6,9,7,5,8,2,1,ai,AI / Machine Learning Engineering
3.01,80,52,70,4,5,1,7,8,3,1,data,Data Science
3.18,50,80,42,1,3,1,0,5,2,1,data,Data Science
3.34,42,42,83,5,0,3,0,2,0,5,cloud,AI / Machine Learning Engineering
3.35,77,86,69,4,3,3,3,8,3,3,ai,Data Science
2.95,67,92,41,9,5,9,8,0,1,4,data,AI / Machine Learning Engineering
3.6,53,55,98,4,0,0,2,5,0,5,cloud,Data Science
2.64,85,77,85,7,8,5,8,3,1,0,security,AI / Machine Learning Engineering
3.62,64,47,55,5,3,0,5,2,1,5,cloud,Cloud / DevOps Engineering
3.03,66,50,88,4,6,2,8,7,0,2,cloud,Cloud / DevOps Engineering
3.5,57,90,48,7,6,3,0,7,3,2,security,AI / Machine Learning Engineering
3.0,83,87,76,3,8,4,8,8,1,1,cloud,Cloud / DevOps Engineering
3.51,62,48,93,1,0,1,0,9,1,0,cloud,Data Science
3.03,73,41,66,9,2,6,0,7,3,3,cloud,AI / Machine Learning Engineering
2.8,41,99,58,7,7,5,9,8,2,3,web,Web Development
3.56,86,77,78,0,5,7,4,6,1,5,ai,Cyber Security
3.13,54,60,91,4,7,3,8,6,1,4,web,Web Development
3.13,89,82,57,6,1,9,7,5,1,5,security,Cyber Security
2.9,71,96,74,7,5,4,0,3,2,0,ai,AI / Machine Learning Engineering
3.66,48,76,59,1,5,9,1,6,2,0,web,Web Development
3.64,97,58,63,9,7,1,3,9,0,0,cloud,Data Science
2.68,64,88,45,9,7,2,8,1,1,0,data,AI / Machine Learning Engineering
2.82,49,77,53,0,8,2,4,6,2,2,ai,Web Development
2.73,75,66,50,4,8,0,3,6,2,0,cloud,Data Science
2.44,82,55,72,6,9,8,8,2,1,5,security,Web Development
3.25,54,65,40,7,3,8,0,1,1,5,web,Cyber Security
2.51,70,61,76,1,3,9,4,9,3,1,data,Data Science
3.72,96,88,87,7,0,7,0,4,3,5,data,Data Science
2.84,99,85,75,0,0,3,1,2,2,0,web,Data Science
2.83,63,63,48,5,0,8,2,5,1,4,security,Cyber Security
3.21,85,60,49,6,3,3,6,8,2,2,cloud,Data Science
3.07,61,92,82,2,4,0,2,3,3,4,data,Web Development
3.17,77,60,48,1,9,7,9,8,0,2,ai,Cloud / DevOps Engineering
3.42,41,89,89,0,0,6,4,2,0,2,data,Data Science
3.39,82,75,98,3,2,9,7,6,0,0,data,Cloud / DevOps Engineering
3.52,42,88,83,9,7,4,3,9,3,4,data,Data Science
2.96,97,70,98,0,2,2,4,2,0,0,ai,AI / Machine Learning Engineering
3.4,62,43,60,4,4,9,8,9,2,5,web,Data Science
2.29,96,98,53,0,5,0,6,2,1,0,ai,Web Development
3.52,63,49,80,2,1,3,1,0,3,2,web,AI / Machine Learning Engineering
3.7,63,61,84,6,1,7,4,6,0,4,cloud,Data Science
3.55,97,65,40,3,6,5,9,0,0,3,ai,Cloud / DevOps Engineering
3.44,40,81,48,2,2,9,8,9,2,1,ai,Cyber Security
3.06,58,64,86,5,0,4,6,3,3,1,cloud,Cloud / DevOps Engineering
2.57,43,69,59,2,6,2,1,9,3,3,cloud,Data Science
3.36,71,63,85,2,4,6,0,6,0,3,ai,Web Development
3.25,72,49,55,3,3,0,2,4,1,0,security,Data Science
3.36,51,45,80,6,4,1,0,1,0,2,cloud,AI / Machine Learning Engineering
3.4,70,72,86,1,8,6,5,8,2,5,ai,Web Development
3.64,44,51,80,2,2,0,8,5,1,3,data,Data Science
3.6,44,53,42,6,6,1,6,5,1,0,cloud,Cloud / DevOps Engineering
2.86,88,48,91,1,7,1,4,5,2,4,cloud,Web Development
3.28,62,63,44,4,0,8,5,8,2,4,security,Cyber Security
3.23,95,75,65,9,0,4,0,6,3,2,data,AI / Machine Learning Engineering
2.89,99,77,79,0,9,8,2,2,3,2,cloud,Web Development
3.5,53,79,43,6,3,2,5,3,1,2,data,Data Science
2.95,62,66,45,9,1,2,1,2,0,5,web,AI / Machine Learning Engineering
2.57,70,45,92,4,9,2,7,7,3,3,data,Web Development
3.41,41,81,40,3,8,8,3,8,2,3,web,Web Development
3.08,87,47,52,6,8,6,0,1,3,5,ai,AI / Machine Learning Engineering
2.88,97,74,94,9,2,4,6,2,0,4,cloud,Cloud / DevOps Engineering
2.89,85,61,52,4,0,2,0,3,1,2,cloud,AI / Machine Learning Engineering
2.96,63,44,80,9,4,4,1,2,1,0,web,Web Development
3.92,78,82,82,1,0,1,6,6,1,5,web,Data Science
4.0,56,53,80,2,9,2,1,7,2,4,web,Web Development
2.93,82,76,41,9,6,7,8,6,1,1,data,Data Science
3.24,85,68,89,3,5,3,8,3,1,5,security,Cloud / DevOps Engineering
2.91,57,86,76,0,8,6,2,3,0,5,web,Web Development
3.48,83,40,90,7,8,6,6,7,1,2,web,Web Development
2.86,59,94,90,0,3,2,0,1,2,4,security,Cyber Security
2.71,94,58,52,5,7,6,9,5,0,0,data,Cloud / DevOps Engineering
3.14,75,58,46,9,7,5,2,5,2,1,cloud,AI / Machine Learning Engineering
3.12,92,69,42,9,6,0,8,8,0,0,security,Data Science
3.07,49,52,68,2,5,7,8,5,0,3,web,Web Development
3.61,64,69,57,9,0,9,7,8,2,3,security,Cyber Security
3.48,94,47,41,5,5,9,4,9,1,2,ai,Data Science
2.58,96,68,64,4,2,1,7,5,1,2,cloud,Cloud / DevOps Engineering
3.21,52,67,40,2,5,7,3,4,0,5,web,Web Development
4.0,73,50,73,0,9,1,6,8,1,1,web,Web Development
3.05,75,48,55,3,2,0,6,5,1,3,ai,Data Science
3.44,49,99,40,3,9,9,8,7,2,3,cloud,Web Development
2.9,93,82,81,0,5,3,2,1,2,0,ai,AI / Machine Learning Engineering
3.33,64,71,69,9,8,3,2,1,0,3,web,Web Development
3.38,61,66,49,9,9,2,9,5,1,0,security,AI / Machine Learning Engineering
3.51,43,79,98,7,2,3,2,9,1,3,data,Data Science
3.3,69,78,93,6,2,2,0,3,3,1,data,AI / Machine Learning Engineering
2.93,51,72,95,6,0,9,9,5,0,1,ai,Cyber Security
3.45,50,71,45,2,0,1,4,9,0,1,ai,Data Science
3.22,56,87,59,9,2,9,4,9,0,1,cloud,AI / Machine Learning Engineering
3.35,54,61,98,5,3,7,4,6,0,4,web,Cyber Security
2.79,56,89,89,7,7,1,5,4,2,4,security,AI / Machine Learning Engineering
2.84,75,72,65,7,0,7,6,8,3,4,data,Data Science
2.78,53,50,46,9,8,3,9,2,3,0,ai,AI / Machine Learning Engineering
3.4,89,75,67,7,4,4,9,2,0,5,data,AI / Machine Learning Engineering
2.99,58,55,70,2,2,6,9,1,1,4,cloud,Cloud / DevOps Engineering
2.83,92,55,63,4,3,7,6,5,0,5,data,Data Science
3.62,65,82,87,6,9,4,0,5,3,1,web,Web Development
3.3,45,98,64,8,7,8,3,5,0,4,security,Cyber Security
3.18,70,69,96,1,2,1,1,9,2,2,web,Data Science
3.96,67,52,64,2,6,5,7,2,2,3,data,Data Science
3.0,93,81,94,9,6,3,5,6,0,4,data,Data Science
2.83,80,42,71,4,3,9,5,9,3,2,security,Cyber Security
3.56,54,66,92,8,8,9,0,7,3,5,ai,AI / Machine Learning Engineering
2.88,63,72,55,7,6,7,0,5,2,5,cloud,AI / Machine Learning Engineering
3.02,84,79,98,9,5,0,9,4,2,4,data,AI / Machine Learning Engineering
3.09,76,80,53,9,3,3,7,0,3,4,cloud,AI / Machine Learning Engineering
2.5,93,55,49,5,5,0,4,5,3,4,cloud,Web Development
2.51,54,44,52,2,6,4,4,5,2,1,web,Web Development
2.62,76,96,81,3,4,3,1,0,3,3,security,Web Development
3.0,51,68,83,0,4,9,9,3,2,4,security,Cyber Security
3.02,43,44,44,8,8,5,3,1,1,2,cloud,AI / Machine Learning Engineering
2.99,42,48,75,0,0,6,6,1,0,0,web,Cyber Security
3.3,98,50,76,0,8,0,5,0,2,1,web,Web Development
2.93,95,96,49,3,8,6,4,4,0,1,data,Web Development
3.47,78,47,58,5,9,5,0,5,3,4,ai,Web Development
3.67,52,71,76,3,8,8,0,1,3,4,cloud,Web Development
3.2,73,73,64,3,3,6,9,9,0,1,web,Data Science
3.91,54,62,62,1,2,9,9,3,2,1,data,Cloud / DevOps Engineering
3.53,52,52,82,0,5,1,2,3,1,5,ai,Web Development
3.7,77,96,72,5,4,5,7,4,1,3,ai,AI / Machine Learning Engineering
3.2,56,63,60,1,0,2,8,0,3,1,ai,AI / Machine Learning Engineering
3.27,67,41,96,7,4,2,6,1,0,2,data,AI / Machine Learning Engineering
3.6,93,56,53,5,9,2,3,5,3,0,web,Web Development
3.41,60,40,76,4,8,0,4,6,2,5,data,Web Development
3.57,81,69,91,3,9,4,2,7,2,4,data,Data Science
4.0,91,59,87,7,1,3,1,0,1,4,security,Cyber Security
2.87,53,44,80,7,1,6,6,0,0,3,data,AI / Machine Learning Engineering
2.62,63,79,62,5,5,9,5,7,0,4,ai,AI / Machine Learning Engineering
3.2,92,79,69,4,0,8,3,1,3,5,data,Cyber Security
2.73,63,83,53,7,6,4,2,8,1,2,cloud,AI / Machine Learning Engineering
2.67,74,52,51,1,4,6,9,9,2,4,cloud,Data Science
2.71,69,73,66,7,6,3,8,8,3,5,cloud,Cloud / DevOps Engineering
3.19,87,98,53,7,8,5,9,1,1,5,cloud,Cloud / DevOps Engineering
3.92,97,62,53,5,8,6,3,6,1,5,security,Web Development
2.29,74,85,61,6,7,6,2,5,0,4,ai,Web Development
3.65,44,89,81,6,5,8,9,4,0,0,security,Cyber Security
3.29,40,93,69,3,0,8,3,5,0,3,ai,Cyber Security
3.78,90,83,71,1,4,0,2,0,0,2,security,Web Development
2.96,89,54,51,0,8,1,5,0,3,0,web,Web Development
2.56,49,90,58,2,6,3,3,2,1,2,ai,Web Development
3.62,59,81,84,1,5,0,5,9,0,5,ai,Data Science
3.21,49,87,94,1,5,7,6,0,0,1,cloud,Cloud / DevOps Engineering
3.44,55,55,79,6,5,1,5,8,2,1,ai,Data Science
3.28,54,72,96,6,5,1,2,0,2,1,security,AI / Machine Learning Engineering
3.29,79,86,60,8,3,8,6,5,3,1,web,AI / Machine Learning Engineering
2.9,40,45,44,8,6,1,6,2,3,0,web,Web Development
2.96,69,88,78,0,5,9,9,7,2,3,ai,Cloud / DevOps Engineering
3.73,94,89,87,1,7,9,9,9,0,1,web,Web Development
3.64,88,81,83,1,9,3,0,3,0,3,data,Web Development
3.3,58,53,79,0,2,9,0,7,0,4,ai,Data Science
3.48,47,52,87,2,0,8,8,5,1,0,security,Cyber Security
4.0,49,67,96,5,7,3,2,0,1,3,web,Web Development
3.61,51,93,44,9,8,0,2,2,3,2,ai,AI / Machine Learning Engineering
2.51,93,82,58,5,8,8,9,2,2,3,cloud,Cloud / DevOps Engineering
3.2,60,83,87,1,5,2,5,4,1,1,web,Web Development
3.83,86,99,68,2,9,3,5,2,2,0,ai,Web Development
3.42,58,50,87,4,4,9,1,9,3,4,security,Cyber Security
3.37,43,83,95,9,3,1,1,0,0,5,cloud,AI / Machine Learning Engineering
3.21,76,71,65,1,5,0,6,3,3,4,ai,Web Development
3.0,98,84,66,3,1,5,1,4,1,2,data,Data Science
3.07,68,96,76,4,4,5,1,5,1,2,security,Cyber Security
3.54,40,65,67,4,9,8,5,7,1,0,data,Data Science
2.96,81,71,67,6,7,9,7,7,2,1,web,Web Development
3.42,89,46,60,4,4,6,8,7,1,0,security,Data Science
3.35,56,70,49,0,5,0,4,3,0,5,data,Data Science
3.31,41,55,69,5,5,6,4,7,2,1,web,Web Development
3.11,73,44,57,6,8,8,5,0,3,4,web,Web Development
3.8,87,62,59,8,9,1,4,3,0,3,cloud,AI / Machine Learning Engineering
3.59,66,56,72,1,9,9,4,3,0,3,web,Web Development
3.11,77,82,55,4,6,2,0,8,1,4,security,Data Science
3.62,84,45,67,4,0,6,5,1,2,5,ai,AI / Machine Learning Engineering
2.93,46,53,89,0,5,2,4,1,2,0,web,Web Development
2.55,83,86,78,5,4,9,1,4,0,0,security,Cyber Security
3.6,87,42,68,2,3,6,6,1,3,4,data,Data Science
3.97,60,97,54,3,7,0,4,9,0,1,cloud,Data Science
2.59,57,86,56,9,2,9,4,5,2,0,data,AI / Machine Learning Engineering
3.82,84,49,41,7,5,1,0,5,0,5,cloud,AI / Machine Learning Engineering
3.63,43,90,91,9,6,9,7,0,0,4,cloud,AI / Machine Learning Engineering
3.1,86,90,87,8,4,2,2,2,1,5,ai,AI / Machine Learning Engineering
3.54,77,52,81,2,7,1,2,7,3,0,security,Data Science
3.34,72,47,51,9,4,7,9,9,0,3,cloud,Cloud / DevOps Engineering
3.68,88,53,81,0,5,2,2,5,0,2,ai,Data Science
3.21,89,70,62,0,3,8,3,2,1,1,ai,Cyber Security
3.1,42,90,79,3,3,2,0,7,2,0,data,Data Science
3.2,85,57,61,8,0,5,7,9,0,1,web,Data Science
3.11,89,87,44,7,4,9,7,7,0,1,data,Data Science
3.84,76,48,42,7,5,3,8,4,3,1,ai,AI / Machine Learning Engineering
3.35,77,51,58,9,0,0,8,8,0,0,data,Data Science
2.87,47,89,88,1,8,4,7,2,2,1,web,Web Development
3.23,59,80,75,4,7,0,0,8,0,3,web,Web Development
3.48,53,48,69,7,3,1,8,3,0,1,ai,AI / Machine Learning Engineering
3.1,76,62,46,8,2,9,3,9,3,4,security,Cyber Security
4.0,55,40,87,1,7,6,0,4,1,5,data,Web Development
2.95,40,92,56,8,6,2,8,1,3,0,cloud,Cloud / DevOps Engineering
3.25,84,94,45,4,4,8,0,8,1,3,cloud,Data Science
3.59,97,57,96,2,5,5,1,6,0,3,ai,Web Development
3.43,79,90,55,9,3,6,6,7,1,2,security,Cyber Security
3.18,90,51,92,9,8,5,2,9,0,5,web,Web Development
3.02,83,56,99,1,4,0,7,0,0,0,web,Web Development
3.17,84,55,78,0,7,7,3,7,3,4,data,Data Science
2.34,81,67,95,3,9,9,6,4,0,3,cloud,Web Development
2.72,85,44,89,9,1,6,8,4,2,3,web,AI / Machine Learning Engineering
3.92,93,78,56,2,5,2,6,8,2,5,cloud,Data Science
2.98,79,78,94,3,1,4,2,8,1,0,ai,Data Science
2.71,95,77,92,4,9,9,7,6,3,3,data,Data Science
2.7,82,44,72,3,7,5,0,0,2,5,web,Web Development
3.12,63,75,73,9,5,1,2,0,0,0,security,AI / Machine Learning Engineering
3.4,59,41,74,6,2,4,9,5,1,5,ai,Cloud / DevOps Engineering
3.36,55,64,99,7,5,5,0,1,3,2,data,Web Development
2.57,88,88,75,0,1,3,6,1,3,4,web,Web Development
3.64,85,56,84,2,6,8,1,6,0,1,security,Cyber Security
2.65,95,80,94,3,8,3,3,8,1,3,security,Data Science
3.07,59,53,71,1,7,8,3,3,0,1,data,Cyber Security
2.9,74,56,48,8,2,3,6,1,3,2,ai,AI / Machine Learning Engineering
2.74,48,52,45,2,4,1,6,9,2,5,security,Data Science
3.17,90,86,75,8,8,1,4,0,3,1,cloud,AI / Machine Learning Engineering
2.68,91,90,81,4,3,8,7,6,2,4,web,Cyber Security
2.6,72,68,89,6,9,2,4,7,0,4,cloud,Web Development
2.47,60,76,47,2,5,2,1,7,0,0,ai,Web Development
3.38,52,80,41,1,4,0,7,4,3,1,cloud,Cloud / DevOps Engineering
3.26,84,40,50,5,3,2,4,8,1,1,ai,AI / Machine Learning Engineering
2.97,66,91,88,9,4,0,5,9,1,0,security,AI / Machine Learning Engineering
3.27,50,52,51,5,1,4,2,6,3,0,ai,AI / Machine Learning Engineering
3.09,51,57,48,0,4,0,4,7,3,2,web,Data Science
2.95,55,88,77,9,6,9,9,0,3,0,web,AI / Machine Learning Engineering
2.85,86,64,89,5,3,6,5,9,1,0,data,Data Science
3.22,41,87,43,0,6,3,7,8,3,0,data,Data Science
3.01,77,55,99,4,0,5,8,2,2,2,data,Cloud / DevOps Engineering
2.79,80,82,60,2,4,4,4,6,0,0,cloud,Data Science
2.63,95,71,95,0,5,8,7,2,2,0,cloud,Cloud / DevOps Engineering
3.36,59,52,84,0,3,3,7,3,3,4,security,Cloud / DevOps Engineering
4.0,69,92,80,5,3,6,1,3,0,3,data,AI / Machine Learning Engineering
2.64,78,65,82,3,6,9,5,5,1,5,security,Cyber Security
3.13,52,93,68,5,8,8,4,4,0,5,security,Cyber Security
3.12,65,56,93,2,3,8,2,0,2,4,web,Cyber Security
3.37,42,66,54,9,1,5,7,6,2,5,data,AI / Machine Learning Engineering
3.94,95,94,64,9,0,8,6,0,0,4,web,AI / Machine Learning Engineering
3.51,50,60,69,1,2,2,4,4,1,4,web,Web Development
3.24,99,77,51,3,0,3,8,0,1,2,security,Cloud / DevOps Engineering
2.49,62,66,66,6,3,6,1,0,3,1,data,AI / Machine Learning Engineering
3.9,53,98,77,1,7,3,4,7,1,2,cloud,Web Development
3.76,81,83,56,4,5,2,6,5,3,2,web,Web Development
3.24,81,89,48,0,1,1,5,6,0,2,data,Data Science
3.01,78,65,47,7,3,6,9,0,3,5,web,Cloud / DevOps Engineering
2.96,91,67,96,8,5,8,3,0,1,4,web,AI / Machine Learning Engineering
2.22,98,44,98,1,6,9,8,6,3,4,web,Cyber Security
3.41,56,92,53,1,8,6,9,7,1,0,web,Web Development
3.49,67,58,59,6,7,6,5,8,0,2,ai,AI / Machine Learning Engineering
3.46,92,92,95,6,8,3,9,3,1,2,data,Web Development
3.26,66,80,77,1,1,8,9,7,1,5,ai,Cyber Security
3.34,73,67,66,7,0,0,3,6,0,4,web,AI / Machine Learning Engineering
3.01,56,76,52,3,0,9,7,7,0,2,data,Data Science
2.83,91,68,55,0,0,9,4,2,0,4,security,Cyber Security
3.41,40,76,96,5,9,1,8,5,0,4,data,Web Development
3.12,85,70,73,2,8,8,5,9,1,5,ai,Cyber Security
2.78,97,93,78,4,0,5,9,4,1,2,cloud,Cloud / DevOps Engineering
3.71,74,74,61,4,5,6,2,4,3,3,security,Cyber Security
2.78,77,92,58,4,2,4,4,1,1,5,data,Web Development
4.0,61,59,55,6,6,1,1,1,2,5,security,AI / Machine Learning Engineering
2.97,93,71,75,2,5,1,7,0,3,0,security,Web Development
3.59,89,97,57,0,6,1,9,4,0,2,web,Web Development
3.12,55,59,63,2,2,2,7,3,0,1,security,Cloud / DevOps Engineering
4.0,80,88,49,1,2,6,8,2,3,0,web,Web Development
3.43,50,94,50,7,8,1,2,1,1,3,web,Web Development
3.42,81,72,77,2,2,3,3,6,2,2,web,Data Science
2.89,62,89,50,0,1,2,1,2,1,2,cloud,Cyber Security
3.66,57,52,90,4,3,1,9,1,1,5,security,Cloud / DevOps Engineering
3.48,91,75,67,9,3,5,8,4,3,3,ai,AI / Machine Learning Engineering
3.65,48,54,75,8,8,6,7,2,2,4,ai,AI / Machine Learning Engineering
3.07,54,49,82,6,2,2,1,8,2,3,ai,AI / Machine Learning Engineering
2.64,49,52,86,6,1,6,3,3,0,3,security,Cyber Security
2.88,52,67,53,5,3,5,9,3,3,4,security,Cyber Security
2.73,57,84,68,0,4,1,9,9,1,3,web,Data Science
3.58,54,76,54,1,1,8,4,4,2,5,ai,Cyber Security
3.21,46,69,52,2,7,8,6,5,3,4,cloud,Web Development
3.06,90,63,91,7,4,2,3,3,3,5,ai,AI / Machine Learning Engineering
2.71,63,83,96,4,7,3,4,2,0,3,data,Web Development
2.16,73,95,50,2,9,5,5,3,0,1,ai,Web Development
3.11,53,76,94,0,1,8,2,5,2,0,data,Cyber Security
3.34,68,89,84,3,0,3,6,2,3,1,ai,AI / Machine Learning Engineering
3.28,49,85,81,9,3,5,8,2,2,0,web,Web Development
3.53,94,48,97,9,3,4,7,0,3,5,web,AI / Machine Learning Engineering
3.66,40,61,57,4,5,7,8,5,0,3,security,Cyber Security
3.95,79,70,42,0,1,9,9,6,1,3,web,Cyber Security
2.85,98,84,42,2,4,5,1,2,1,2,web,Web Development
3.25,66,85,45,5,0,8,4,0,3,5,web,AI / Machine Learning Engineering
3.27,98,94,69,3,6,4,5,6,2,4,data,Data Science
3.49,74,46,89,1,2,3,5,7,3,1,data,Data Science
3.18,92,82,57,6,8,8,0,6,0,5,ai,AI / Machine Learning Engineering
3.05,71,47,70,4,7,9,7,8,1,2,web,Web Development
2.61,76,80,80,1,1,2,6,2,0,5,data,Data Science
3.22,65,47,73,1,9,9,7,5,3,3,cloud,Cyber Security
3.82,81,88,43,2,7,6,6,7,1,1,security,Data Science
2.97,87,40,92,0,9,7,1,5,1,1,web,Web Development
3.48,41,41,98,0,9,1,5,2,1,4,ai,Web Development
3.7,49,70,84,5,6,3,6,9,2,3,web,Web Development
3.58,77,63,53,8,0,0,7,6,0,2,web,AI / Machine Learning Engineering
3.93,68,94,79,0,3,3,4,3,0,4,web,Web Development
3.29,66,61,90,4,1,6,2,0,1,2,cloud,Cyber Security
3.09,76,91,79,3,3,1,0,3,2,3,ai,AI / Machine Learning Engineering
3.52,45,87,50,9,3,2,8,9,3,4,cloud,AI / Machine Learning Engineering
3.1,95,70,43,2,1,3,9,3,0,1,cloud,Cloud / DevOps Engineering
2.94,72,57,53,5,4,0,0,3,3,3,cloud,AI / Machine Learning Engineering
4.0,94,41,41,5,6,2,3,2,2,3,security,Web Development
3.45,57,97,79,7,7,0,0,9,3,5,cloud,Data Science
3.53,75,46,49,9,0,3,1,8,3,4,cloud,AI / Machine Learning Engineering
3.43,94,48,54,4,1,4,3,7,3,4,web,Data Science
2.82,60,85,97,6,0,7,2,6,3,2,cloud,Cyber Security
3.19,44,74,89,3,3,7,7,4,0,5,ai,AI / Machine Learning Engineering
3.07,94,92,55,7,8,1,3,8,0,2,data,Data Science
3.13,89,71,70,6,7,0,8,3,3,1,data,Data Science
3.3,50,45,40,8,5,9,0,0,3,5,web,Cyber Security
2.81,58,85,84,1,3,4,1,0,1,2,ai,AI / Machine Learning Engineering
3.59,91,56,90,2,0,8,0,8,0,1,web,Cyber Security
3.54,77,97,83,8,8,6,9,8,0,4,security,AI / Machine Learning Engineering
2.81,62,54,69,1,3,1,7,6,0,1,data,Data Science
3.54,41,73,92,4,3,9,9,2,3,1,data,Cyber Security
2.16,60,60,57,4,2,3,1,3,0,0,security,Cyber Security
3.23,84,71,43,4,0,0,6,8,0,1,ai,Data Science
2.89,74,56,57,0,4,9,1,2,3,1,data,Cyber Security
3.3,59,99,87,8,0,0,3,2,2,2,web,AI / Machine Learning Engineering
2.73,69,79,62,7,3,5,2,7,3,2,data,Data Science
2.62,91,87,75,3,5,3,6,6,0,4,ai,AI / Machine Learning Engineering
3.21,78,69,65,6,6,4,0,1,0,0,data,Web Development
3.73,54,74,45,8,7,9,3,1,0,5,ai,AI / Machine Learning Engineering
3.77,59,55,42,0,4,9,7,8,2,3,data,Data Science
3.17,81,73,66,4,7,2,8,6,0,0,ai,Data Science
3.63,76,52,83,9,6,2,2,2,3,3,web,Web Development
3.45,77,62,92,8,3,9,0,7,2,1,security,Cyber Security
3.41,81,84,70,9,9,5,0,4,1,3,ai,AI / Machine Learning Engineering
3.29,93,44,49,3,1,4,4,6,0,3,cloud,Data Science
2.57,89,41,70,8,3,2,0,1,1,0,cloud,AI / Machine Learning Engineering
3.77,45,42,44,8,6,3,6,4,2,4,cloud,Cloud / DevOps Engineering
3.23,59,78,42,4,0,9,2,7,0,0,web,Cyber Security
3.04,82,48,62,9,1,5,7,1,3,4,cloud,Cloud / DevOps Engineering
2.46,70,72,63,0,4,5,2,6,1,1,web,Web Development
2.76,86,79,57,2,6,9,3,8,1,5,cloud,Data Science
3.35,48,90,90,0,1,2,1,7,1,0,cloud,Data Science
3.28,89,79,48,7,5,9,0,6,0,5,ai,AI / Machine Learning Engineering
3.58,48,77,45,2,4,9,6,2,1,4,data,Cyber Security
2.59,40,53,47,1,2,1,3,0,2,4,cloud,Cloud / DevOps Engineering
3.69,49,53,85,3,5,5,4,0,2,1,cloud,Web Development
2.97,98,77,82,9,0,1,2,8,0,1,cloud,AI / Machine Learning Engineering
3.05,88,79,60,6,6,6,5,7,0,3,data,Data Science
